File path,Package,Method,CSEC
.\main\java\org\jfree\chart\plot\compass\LineNeedle.java, org.jfree.chart.plot.compass, LineNeedle, 14
.\main\java\org\jfree\chart\plot\compass\LongNeedle.java, org.jfree.chart.plot.compass, LongNeedle, 12
.\main\java\org\jfree\chart\plot\compass\MeterNeedle.java, org.jfree.chart.plot.compass, MeterNeedle, 40
.\main\java\org\jfree\chart\plot\compass\MiddlePinNeedle.java, org.jfree.chart.plot.compass, MiddlePinNeedle, 12
.\main\java\org\jfree\chart\plot\compass\package-info.java, org.jfree.chart.plot.compass, package-info, 0
.\main\java\org\jfree\chart\plot\compass\PinNeedle.java, org.jfree.chart.plot.compass, PinNeedle, 12
.\main\java\org\jfree\chart\plot\compass\PlumNeedle.java, org.jfree.chart.plot.compass, PlumNeedle, 12
.\main\java\org\jfree\chart\plot\compass\PointerNeedle.java, org.jfree.chart.plot.compass, PointerNeedle, 12
.\main\java\org\jfree\chart\plot\compass\ShipNeedle.java, org.jfree.chart.plot.compass, ShipNeedle, 12
.\main\java\org\jfree\chart\plot\compass\WindNeedle.java, org.jfree.chart.plot.compass, WindNeedle, 12
.\main\java\org\jfree\chart\plot\Crosshair.java, org.jfree.chart.plot, Crosshair, 101
.\main\java\org\jfree\chart\plot\CrosshairState.java, org.jfree.chart.plot, CrosshairState, 71
.\main\java\org\jfree\chart\plot\DatasetRenderingOrder.java, org.jfree.chart.plot, DatasetRenderingOrder, 20
.\main\java\org\jfree\chart\plot\DefaultDrawingSupplier.java, org.jfree.chart.plot, DefaultDrawingSupplier, 54
.\main\java\org\jfree\chart\plot\dial\AbstractDialLayer.java, org.jfree.chart.plot.dial, AbstractDialLayer, 20
.\main\java\org\jfree\chart\plot\dial\ArcDialFrame.java, org.jfree.chart.plot.dial, ArcDialFrame, 52
.\main\java\org\jfree\chart\plot\dial\DialBackground.java, org.jfree.chart.plot.dial, DialBackground, 51
.\main\java\org\jfree\chart\plot\dial\DialCap.java, org.jfree.chart.plot.dial, DialCap, 62
.\main\java\org\jfree\chart\plot\dial\DialFrame.java, org.jfree.chart.plot.dial, DialFrame, 6
